Title,Authors,Year,DOI,PubMed IDs,Full Authors
Non-lexical approaches to identifying associative relations in the gene ontology.,"O. Bodenreider, M Aubry, and A. Burgun",2005,10.1142/9789812702456_0010,15759617,"{6603893164: 'Olivier Bodenreider', 14027844100: 'Marc Aubry', 7004335489: 'Anita Burgun'}"
Genestrace: phenomic knowledge discovery via structured terminology.,"M.N. Cantor, I.N. Sarkar, O. Bodenreider, and Y.A. Lussier",2005,10.1142/9789812702456_0011,15759618,"{7005614403: 'Michael N. Cantor', 15124590700: 'Indra Neil Sarkar', 6603893164: 'Olivier Bodenreider', 7004101223: 'Yves A. Lussier'}"
Integrating genomic knowledge sources through an anatomy ontology.,"J.H. Gennari, A. Silberfein, and J.C. Wiley ",2005,10.1142/9789812702456_0012,15759619,"{7004484291: 'John H. Gennari', 6504699724: 'Adam Silberfein', 7202816711: 'Jesse C. Wiley'}"
Gotrees: predicting go associations from protein domain composition using decision trees.,B. Hayete and J.R. Bienkowska,2005,10.1142/9789812702456_0013,15759620,"{8251882000: 'Boris Hayete', 56048068300: 'Jadwiga R. Bieńkowska'}"
The clinical bioinformatics ontology: a curated semantic network utilizing RefSeq information.,"M. Hoffman, C. Arnoldi, and I. Chuang",2005,10.1142/9789812702456_0014,15759621,"{56502944400: 'Mark A. Hoffman', 27367613800: 'C. Arnoldi', 8271665000: 'I. Chuang'}"
Go molecular function terms are predictive of subcellular localization.,Z. Lu and L. Hunter,2005,10.1142/9789812702456_0015,15759622,"{23474115300: 'Zhiyong Lu', 57689685500: 'Lawrence E. Hunter'}"
Linking ontological resources using aggregatable substance identifiers to organize extracted relations.,"B. Marshall, H. Su, D. McDonald, and H. Chen",2005,10.1142/9789812702456_0016,15759623,"{7202280151: 'Byron B. Marshall', 55209482800: 'Hua Su', 35553481600: 'Daniel M. McDonald', 8871373800: 'Hsinchun Chun Chen'}"
Implications of compositionality in the gene ontology for its curation and usage.,"P.V. Ogren, K.B. Cohen, and L. Hunter",2005,10.1142/9789812702456_0017,15759624,"{6701450994: 'Philip V. Ogren', 8314739900: 'Kevin Bretonnel Cohen', 57689685500: 'Lawrence E. Hunter'}"
The use of common ontologies and controlled vocabularies to enable data exchange and deposition for complex proteomic experiments.,"S. Orchard, L. Montecchi-Palazzi, H. Hermjakob, and R. Apweiler",2005,10.1142/9789812702456_0018,15759625,"{7003491677: 'Sandra E. Orchard', 6603076116: 'Luisa Montecchi-Palazzi', 6701613156: 'Henning Hermjakob', 7005058025: 'Rolf Apweiler'}"
A flexible measure of contextual similarity for biomedical terms.,I. Spasic and S. Ananiadou,2005,10.1142/9789812702456_0019,15759626,"{8645090100: 'Irena Spasíc', 6602788919: 'Sophia Ananiadou'}"
Understanding the global properties of functionally-related gene networks using the gene ontology.,"L. Tari, C. Baral, and P. Dasgupta",2005,10.1142/9789812702456_0020,15759627,"{8938272900: 'Luis B. Tari', 7004928552: 'Chitta R. Baral', 35285538100: 'Partha Dasgupta'}"
Identification of functional modules in protein complexes via hyperclique pattern discovery.,"H. Xiong, X. He, C. Ding, Y. Zhang, V. Kumar, and S.R. Holbrook",2005,10.1142/9789812702456_0021,15759628,"{7201935465: 'Hui Xiong', 55641972700: 'Xiaofeng He', 7202622028: 'Chris H.Q. Ding', 58873148400: 'Ya Zhang', 35446475800: 'Vipin P. Kumar', 7004637895: 'Stephen R. Holbrook'}"
Multi-aspect gene relation analysis.,"H. Yamakawa, K. Maruhashi, and Y.Nakao",2005,10.1142/9789812702456_0022,15759629,"{35871330500: 'H. Yamakawa', 57516865900: 'K. Maruhashi', 8209868900: 'Yoshio Nakao', 58711026600: 'M. Yamaguchi'}"
Identification of genomic signatures for the design of assays for the detection and monitoring of anthrax threats.,"S. Draghici, P. Khatri, Y. Liu, K.J. Chase, E.A. Bode, D.A. Kulesh, L.P. Wasieloski, D.A. Norwood, and J. Reifman",2005,10.1142/9789812702456_0024,15759631,"{7004125389: 'Sorin Drəghici', 7004042184: 'Purvesh J. Khatri', 36193867800: 'Yanhong Liu', 56841327600: 'Kitty J. Chase', 6603925434: 'Elizabeth A. Bode', 26643012300: 'David A. Kulesh', 6602351083: 'Leonard P. Wasieloski', 7005098959: 'David A. Norwood', 7003901024: 'Jaques Reifman'}"
Enhancing data sharing in collaborative research projects with DASH.,"T.E. Ferrin, C.C. Huang, D.M. Greenblatt, D. Stryke, K.M. Giacomini, and J.H. Morris",2005,10.1142/9789812702456_0025,15759632,"{6603947110: 'Thomas E. Ferrin', 7406883219: 'Conrad C. Huang', 57198253992: 'Daniel M. Greenblatt', 6602905900: 'Doug Stryke', 7007004069: 'Kathleen M. Giacomini', 8278371800: 'John H. Morris'}"
Threshold gradient descent method for censored data regression with applications in pharmacogenomics.,J. Gui and H. Li,2005,10.1142/9789812702456_0026,15759633,"{57548889400: 'Jiang Gui', 57196365859: 'Hongzhe Li'}"
Parameterization of a nonlinear genotype to phenotype map using molecular networks.,J. Peccoud and K. Vander Velden,2005,10.1142/9789812702456_0027,15759634,"{6701730721: 'Jean Peccoud', 6507657415: 'Kent A. Vander Velden'}"
Exploratory visual analysis of pharmacogenomic results.,"D.M. Reif, S.M. Dudek, C.M. Shaffer, J. Wang, and J.H. Moore",2005,10.1142/9789812702456_0028,15759635,"{9274088800: 'David M. Reif', 7006790540: 'Scott M. Dudek', 7005154713: 'Christian M. Shaffer', 8241880500: 'Janey Wang', 7405241093: 'Jason H. Moore'}"
Study of effect of drug lexicons on medication extraction from electronic medical records.,E. Sirohi and P. Peissig,2005,10.1142/9789812702456_0029,15759636,"{8261743100: 'Ekta Sirohi', 16043391700: 'Peggy L. Peissig'}"
Subfamily hmms in functional genomics.,"D. Brown, N. Krishnamurthy, J.M. Dale, W. Christopher, and K. Sjölander",2005,10.1142/9789812702456_0031,15759638,"{35468180600: 'Duncan P. Brown', 8977694200: 'Nandini Krishnamurthy', 58340650000: 'Joseph M. Dale', 8235151700: 'Wayne Christopher', 6701490066: 'Kimmen V. Sjölander'}"
Algorithms for structural comparison and statistical analysis of 3D protein motifs.,"B.Y. Chen, V.Y. Fofanov, D.M. Kristensen, M. Kimmel, O. Lichtarge, and L.E. Kavraki",2005,10.1142/9789812702456_0032,15759639,"{8700933600: 'Brian Yuan Chen', 8304776500: 'Viacheslav Y. Fofanov', 8108179800: 'David M. Kristensen', 7006669306: 'Marek K. Kimmel', 7003903180: 'Olivier Lichtarge', 7004243865: 'Lydia E. Kavraki'}"
Two-stage multi-class support vector machines to protein secondary structure prediction.,M.N. Nguyen and J.C. Rajapakse,2005,10.1142/9789812702456_0033,15759640,"{57193354507: 'Minh Ngoc Nguyen', 7003412852: 'Jagath Chandana Rajapakse'}"
Representing structure-function relationships in mechanistically diverse enzyme superfamilies.,"S.C.-H. Pegg, S. Brown, S. Ojha, C.C. Huang, T.E. Ferrin, and P.C. Babbitt",2005,10.1142/9789812702456_0034,15759641,"{7006763017: 'Scott C.H. Pegg', 55479567500: 'Shoshana D. Brown', 7102952503: 'Sunil Ojha', 7406883219: 'Conrad C. Huang', 6603947110: 'Thomas E. Ferrin', 7003654933: 'Patricia Clement Babbitt'}"
Discovering sequence-structure motifs from protein segments and two applications.,"T. Tang, J. Xu, and M. Li",2005,10.1142/9789812702456_0035,15759642,"{36867096400: 'Thomas Tang', 57203521425: 'Jinbo Xu', 55719518600: 'Ming Li'}"
Fast and cheap genome wide haplotype construction via optical mapping.,"T.S. Anantharaman, V. Mysore, and B. Mishra",2005,10.1142/9789812702456_0037,15759644,"{7003703909: 'Thomas S. Anantharaman', 55446028800: 'Venkatesh P. Mysore', 55433568100: 'Bud (Bud) Mishra'}"
Improving functional annotation of non-synonomous SNPs with information theory.,"R. Karchin, L.Kelly, and A. Sali",2005,10.1142/9789812702456_0038,15759645,"{6602728907: 'Rachel Karchin', 8517563100: 'Libusha Kelly', 7102068059: 'Andrej Šali'}"
From context-dependence of mutations to molecular mechanisms of mutagenesis.,"I.B. Rogozin, B.A. Malyarchuk, Y.I. Pavlov, and L. Milanesi",2005,10.1142/9789812702456_0039,15759646,"{7006239614: 'Igor B. Rogozin', 7004086135: 'Boris A. Malyarchuk', 7101989589: 'Youri I. Pavlov', 7003682778: 'Luciano Milanesi'}"
A Bayesian framework for SNP identification.,"B.M. Webb-Robertson, S.L. Havre, and D.A. Payne",2005,10.1142/9789812702456_0040,15759647,"{57202553641: 'Bobbie Jo M. Webb-Robertson', 6508350437: 'Susan L. Havre', 36887094300: 'Deborah A. Payne'}"
Untangling the effects of codon mutation and amino acid exchangeability.,L.Y. Yampolsky and A. Stoltzfus,2005,10.1142/9789812702456_0041,15759648,"{6603066589: 'Lev Yu Yampolsky', 6602153877: 'Arlin B. Stoltzfus'}"
Sparse factorizations of gene expression data guided by binding data.,L. Badea and D. Tilivea,2005,10.1142/9789812702456_0043,15759650,"{55894694600: 'Liviu Badea', 8304777400: 'Doina Tilivea'}"
Informative structure priors: joint learning of dynamic regulatory networks from multiple types of data.,A. Bernard and A.J. Hartemink,2005,10.1142/9789812702456_0044,15759651,"{8278372400: 'Allister Bernard', 7003293117: 'Alexander J. Hartemink'}"
Genome-scale protein function prediction in yeast Saccharomyces cerevisiae through integrating multiple sources of high-throughput data.,Y. Chen and D. Xu,2005,10.1142/9789812702456_0045,15759652,"{56877945000: 'Yu Chen', 7404074295: 'Dong Xu'}"
"Discovering transcriptional modules from motif, chip-chip and microarray data.","T. De Bie, P. Monsieurs, K. Engelen, B. De Moor, N. Cristianini, and K. Marchal",2005,10.1142/9789812702456_0046,15759653,"{57203775071: 'Tijl de Bie', 57219135603: 'Pieter Monsieurs', 6603456610: 'Kristof Engelen', 35510667500: 'Bart L.R. de Moor', 55892899100: 'Nello Cristianini', 6701798877: 'Kathleen Marchal'}"
Genrate: a generative model that finds and scores new genes and exons in genomic microarray data.,"B. Frey, Q. Morris, W. Zhang, N. Mohammad, and T. Hughes",2005,10.1142/9789812702456_0047,15759654,"{35459307900: 'Brendan J. Frey', 57209459106: 'Quaid D. Morris', 57192225146: 'Wen Zhang', 6701859725: 'Naveed Mohammad', 34975073500: 'Timothy R. Hughes'}"
Bayesian joint prediction of associated transcription factors in Bacillus subtilis.,"Y. Makita, M.J.L. De Hoon, N. Ogasawara, S. Miyano, and K. Nakai",2005,10.1142/9789812702456_0048,15759655,"{7101638634: 'Yuko Makita', 6602855788: 'Michiel Jl L. De Hoon', 35373019400: 'Naotake Ogasawara', 7102554029: 'Satoru Miyano', 7201487617: 'Kenta Nakai'}"
Modulefinder: a tool for computational discovery of cis regulatory modules.,"A.A. Philippakis, F.S. He, and M.L. Bulyk",2005,10.1142/9789812702456_0049,15759656,"{55616434400: 'Anthony A. Phdlippakis', 8271665700: 'Fangxue Sherry He', 6603035323: 'Martha L. Bulyk'}"
Random forest similarity for protein-protein interaction prediction from multiple sources.,"Y. Qi, J. Klein-Seetharaman, and Z. Bar-Joseph ",2005,10.1142/9789812702456_0050,15759657,"{8324721600: 'Yanjun Qi', 6701805506: 'Judith Klein-Seetharaman', 6602265915: 'Ziv Bar-Joseph'}"
Extraction of gene-disease relations from Medline using domain dictionaries and machine learning.,"Hong-Woo Chun, Yoshimasa Tsuruoka, Jin-Dong Kim, Rie Shiba, Naoki Nagata, Teruyoshi Hishiki, and Jun'ichi Tsujii",2006,10.1142/9789812701626_0002,17094223,"{57215636773: 'Hong-woo Chun', 7003356100: 'Yoshimasa Tsuruoka', 27171308600: 'Jindong Kim', 16053893600: 'Rie Shiba', 55615856600: 'Naoki Nag Ata', 56220015100: 'Teruyoshi Hishiki', 35461474100: ""Jun'i;chi Jun'ichi Tsujii""}"
Significantly improved prediction of subcellular localization by integrating text and protein sequence data.,"Annette Hoglund, Torsten Blum, Scott Brady, Pierre Donnes, John San Miguel, Matthew Rocheford, Oliver Kohlbacher, and Hagit Shatkay",2006,10.1142/9789812701626_0003,17094224,"{9250692900: 'Annette Höglund', 36944660100: 'Torsten Blum', 23972544200: 'Scott Brady', 56487780500: 'Pierre R. Dönnes', 23497953200: 'John San Miguel', 23499358500: 'Matthew Rocheford', 6602349901: 'Oliver Kohlbacher', 57205900915: 'Hagit Shatkay'}"
Evaluation of lexical methods for detecting relationships between concepts from multiple ontologies.,"Helen L. Johnson, K. Bretonnel Cohen, William A. Baumgartner Jr., Zhiyong Lu, Michael Bada, Todd Kester, Hyunmin Kim, and Lawrence Hunter",2006,10.1142/9789812701626_0004,17094225,"{36161175100: 'Helen L. Johnson', 8314739900: 'Kevin Bretonnel Cohen', 55851941991: 'William A. Baumgartner', 23474115300: 'Zhiyong Lu', 55887393300: 'Michael A. Bada', 23497296500: 'Todd Kester', 23497132400: 'Hyunmin Kim', 57689685500: 'Lawrence E. Hunter'}"
Automatically generating gene summaries from biomedical literature.,"Xu Ling, Jing Jiang, Xin He, Qiaozhu Mei, Chengxiang Zhai, and Bruce Schatz",2006,10.1142/9789812701626_0005,17094226,"{24923321000: 'Xu Ling', 56196028200: 'Jing Jiang', 57212597039: 'Xin He', 12241600600: 'Qiaozhu Mei', 35232046000: 'Chengxiang Zhai', 54780626000: 'Bruce R. Schatz'}"
Finding GeneRIFs via gene ontology annotations.,"Zhiyong Lu, K. Bretonnel Cohen, and Lawrence Hunter",2006,10.1142/9789812701626_0006,17094227,"{23474115300: 'Zhiyong Lu', 55617508300: 'K. Bretonnbl Cohen', 57689685500: 'Lawrence E. Hunter'}"
PhenoGO: assigning phenotypic context to gene ontology annotations with natural language processing.,"Yves Lussier, Tara Borlawsky, Daniel Rappaport, Yang Liu, and Carol Friedman",2006,10.1142/9789812701626_0007,17094228,"{7004101223: 'Yves A. Lussier', 15019135800: 'Tara B. Borlawsky', 55196490000: 'Daniel Rappaport', 55616770400: 'Yang Lfu', 16682051600: 'Carol Friedman'}"
Large-scale testing of bibliome informatics using Pfam protein families.,"Ana G. Maguitman, Andreas Rechtsteiner, Karin Verspoor, Charlie E. Strauss, and Luis M. Rocha",2006,10.1142/9789812701626_0008,17094229,"{8335138700: 'Ana Gabriela Maguitman', 14625456600: 'Andreas Rechtsteiner', 12772581800: 'Karin M. Verspoor', 7006744398: 'Charlie E.M. Strauss', 7102199516: 'Luis Mateus Rocha'}"
Predicting gene functions from text using a cross-species approach.,Emilia Stoica and Marti Hearst,2006,10.1142/9789812701626_0009,17094230,"{23499937000: 'Emilia Stoica', 6603954639: 'Marti A. Hearst'}"
Bootstrapping the recognition and anaphoric linking of named entities in Drosophila articles.,"Andreas Vlachos, Caroline Gasperin, Ian Lewin, Ted Briscoe",2006,10.1142/9789812701626_0010,17094231,"{36840647300: 'Andreas Vlachos', 57347121700: 'Caroline V. Gasperin', 57213902017: 'Ian Lewin', 6603910353: 'Ted Briscoe'}"
"Selecting biological data sources and tools with XPR, a path language for RDF.","Sarah Cohen-Boulakia, Christine Froidevaux, and Emmanuel Pietriga",2006,10.1142/9789812701626_0012,17094233,"{8980426100: 'Sarah Cohen-Boulakia', 16835796700: 'Christine Froidevaux', 55918895300: 'Emmanuel Pietriga'}"
"Fast, cheap and out of control: a zero curation model for ontology development.","Benjamin M. Good, Erin M. Tranfield, Poh C. Tan, Marlene Shehata, Gurpreet K. Singhera, John Gosselink, Elena B. Okon, and Mark D. Wilkinson",2006,10.1142/9789812701626_0013,17094234,"{15834553900: 'Benjamin M. Good', 6504822738: 'Erin M. Tranfield', 56214598400: 'Poh C. Tan', 23498994200: 'Marlene Shehata', 14032461100: 'Gurpreet Kaur Singhera', 18037303100: 'John V. Gosselink', 7006410990: 'Elena B. Okon', 55741082500: 'Mark D. Wilkinson'}"
Putting semantics into the semantic web: how well can it capture biology?,Toni Kazic,2006,10.1142/9789812701626_0014,17094235,{6701605613: 'Toni Kazic'}
Event ontology: a pathway-centric ontology for biological processes.,"Tatsuya Kushida, Toshihisa Takagi, and Ken Ichiro Fukuda",2006,10.1142/9789812701626_0015,17094236,"{7102746921: 'Tatsuya Kushida', 7403554330: 'Toshihisa Takagi', 56263252600: 'Ken Fukuda'}"
Discovering biomedical relations utilizing the World-wide Web.,Sougata Mukherjea and Saurav Sahay,2006,10.1142/9789812701626_0016,17094237,"{6603871849: 'Sougata Mukherjea', 14025955000: 'Saurav Sahay'}"
BioDash: a Semantic Web dashboard for drug development.,Eric K. Neumann and Dennis Quan,2006,10.1142/9789812701626_0017,17094238,"{7202005838: 'Eric Karl Neumann', 7004895116: 'Dennis Quan'}"
SemBiosphere: a semantic web approach to recommending microarray clustering services.,"Kevin Y. Yip, Peishen Qi, Martin Schultz, David W. Cheung, and Kei-Hoi Cheung",2006,10.1142/9789812701626_0018,17094239,"{7101909946: 'Kevin Yuk Lap Yip', 22734702700: 'Peishen Qi', 7202779294: 'Martin H. Schultz', 34567902600: 'David Wai Lok Cheung', 7402406608: 'Kei-Hoi Hoi Cheung'}"
Experience in reasoning with the foundational model of anatomy in OWL DL.,"Songmao Zhang, Olivier Bodenreider, and Christine Golbreich",2006,10.1142/9789812701626_0019,17094240,"{8433727100: 'Songmao Zhang', 6603893164: 'Olivier Bodenreider', 6506715215: 'Christine Pierret-Golbreich'}"
A machine learning approach to predicting peptide fragmentation spectra.,"Randy J. Arnold, Narmada Jayasankar, Divya Aggarwal, Haixu Tang, and Predrag Radivojac",2006,10.1142/9789812701626_0021,17094241,"{7401731432: 'Randy J. Arnold', 23496901700: 'Narmada Jayasankar', 23494983800: 'Divya Aggarwal', 10043216700: 'Haixu Tang', 6602502392: 'Predrag Radivojac'}"
Identifying protein complexes in high-throughput protein interaction screens using an infinite latent feature model.,"Wei Chu, Zoubin Ghahramani, Roland Krause, and David L. Wild",2006,10.1142/9789812701626_0022,17094242,"{51963441900: 'Wei Chu', 7003835482: 'Zoubin Ghahramani', 7202846387: 'Roland Krause', 57211036781: 'David L. Wild'}"
High-accuracy peak picking of proteomics data using wavelet techniques.,"Eva Lange, Clemens Gropl, Knut Reinert, Oliver Kohlbacher, and Andreas Hildebrandt",2006,10.1142/9789812701626_0023,17094243,"{13105220800: 'Eva Lange', 13106018600: 'Clemens Gröpl', 7005571355: 'Knut H.J. Reinert', 6602349901: 'Oliver Kohlbacher', 12238853600: 'Andreas Hildebrandt'}"
Fast de novo peptide sequencing and spectral alignment via tree decomposition.,"Chunmei Liu, Yinglei Song, Bo Yan, Ying Xu, and Liming Cai",2006,10.1142/9789812701626_0024,17094244,"{35198227200: 'Chunmei Liu', 59056344200: 'Yinglei Song', 49764407400: 'Bo Yan', 36922188800: 'Ying Xu', 7401563706: 'Liming Cai'}"
Experimental design of time series data for learning from dynamic Bayesian networks.,David Page and Irene M. Ong,2006,10.1142/9789812701626_0025,17094245,"{36922487700: 'David C. Page', 8684172000: 'Irene M. Ong'}"
Finding diagnostic biomarkers in proteomic spectra.,"Pallavi N. Pratapa, Edward F. Patz, Jr., Alexander J. Hartemink",2006,10.1142/9789812701626_0026,17094246,"{6505571074: 'Pallavi N. Pratapa', 7004905271: 'Edward F. Patz', 7003293117: 'Alexander J. Hartemink'}"
Gaussian mixture modeling of alpha-helix subclasses: structure and sequence variations.,"Ashish V. Tendulkar, Babatunde Ogunnaike, and Pramod P. Wangikar",2006,10.1142/9789812701626_0027,17094247,"{6507107223: 'Ashish Vijay Tendulkar', 7003672336: 'Babatunde A. Ogunnaike', 6603635343: 'Pramod P. Wangikar'}"
An SVM scorer for more sensitive and reliable peptide identification via tandem mass spectrometry.,"Haipeng Wang, Yan Fu, Ruixiang Sun, Simin He, Rong Zeng, and Wen Gao",2006,10.1142/9789812701626_0028,17094248,"{55688989300: 'Haipeng Wang', 55712889300: 'Yan Fu', 8937369300: 'Ruixiang Sun', 8586815400: 'Simin He', 7102024197: 'Rong Zeng', 34770442400: 'Wen Gao'}"
Normalization regarding non-random missing values in high-throughput mass spectrometry data.,"Pei Wang, Hua Tang, Heidi Zhang, Jeffrey Whiteaker, Amanda G. Paulovich, and Martin Mcintosh ",2006,10.1142/9789812701626_0029,17094249,"{57218206076: 'Pei Wang', 57210850270: 'Hua Tang', 11440776700: 'Heidi Y. Zhang', 12799209700: 'Jeffrey R. Whiteaker', 6603609510: 'Amanda G. Paulovich', 7103028985: 'Martin W. McIntosh'}"
A point-process model for rapid identification of post-translational modifications.,"Bo Yan, Tong Zhou, Peng Wang, Zhijie Liu, Vincent A. Emanuele II, Victor Olman, and Ying Xu",2006,10.1142/9789812701626_0030,17094250,"{49764407400: 'Bo Yan', 35188467400: 'Tong Zhou', 55617311500: 'Peng Wang', 36063132300: 'Zhijie Liu', 7801666613: 'Vincent A. Emanuele', 6602140661: 'Victor N. Olman', 36922188800: 'Ying Xu'}"
A new approach for alignment of multiple proteins.,Xu Zhang and Tamer Kahveci,2006,10.1142/9789812701626_0031,17094251,"{55715189300: 'Xu Zhang', 6602549479: 'Tamer Kahveci'}"
Discovering regulated networks during HIV-1 latency and reactivation.,"Sourav Bandyopadhyay, Ryan Kelley, and Trey Ideker",2006,10.1142/9789812701626_0033,17094252,"{12761731900: 'Sourav Bandyopadhyay', 57225715652: 'Ryan M. Kelley', 35515050000: 'Trey E. Ideker'}"
Mining Alzheimer disease relevant proteins from integrated protein interactome data.,"Jake Yue Chen, Changyu Shen, and Andrey Y. Sivachenko",2006,10.1142/9789812701626_0034,17094253,"{55156580200: 'Jake Yue Chen', 7402859637: 'Changyu Shen', 55218699700: 'Andrey Y. Sivachenko'}"
Accounting for structural properties and nucleotide co-variations in the quantitative prediction of binding affinities of protein-DNA interactions.,Sumedha Gunewardena and Zhaolei Zhang,2006,10.1142/9789812701626_0035,17094254,"{57225309845: 'Sumedha Gunewardena', 8909939900: 'Zhaolei Zhang'}"
Improving computational predictions of cis-regulatory binding sites.,"Mark Robinson, Yi Sun, Rene Te Boekhorst, Paul Kaye, Rod Adams, Neil Davey, and Alistair G. Rust ",2006,10.1142/9789812701626_0036,17094255,"{56433742400: 'Mark D. Robinson', 56558914400: 'Yi P. Sun', 8903204400: 'René te Boekhorst', 7102603429: 'P. H. Kaye', 7403935545: 'Rod G. Adams', 7005125663: 'Neil Davey', 7003933949: 'Alistair G. Rust'}"
Struct2net: integrating structure into protein-protein interaction prediction.,"Rohit Singh, Jinbo Xu, and Bonnie Berger",2006,10.1142/9789812701626_0037,17094256,"{12141071500: 'Rohit R. Singh', 57203521425: 'Jinbo Xu', 7201838430: 'Bonnie A. Berger'}"
"Identifying interaction sites in ""recalcitrant"" proteins: predicted protein and RNA binding sites in rev proteins of HIV-1 and EIAV agree with experimental data.","Michael Terribilini, Jae-Hyung Lee, Changhui Yan, Robert L. Jernigan, Susan Carpenter, Vasant Honavar, and Drena Dobbs",2006,10.1142/9789812701626_0038,17094257,"{55616362600: 'Michael Terribllini', 55690041500: 'Jae-hyung Lee', 8937096600: 'Changhui Yan', 35563126400: 'Robert L. Jernigan', 57203069634: 'Susan L. Carpenter', 7003823702: 'Vasant G. Honavar', 16678447600: 'Drena L. Dobbs'}"
Modeling and simulation with Hybrid Functional Petri Nets of the role of interleukin-6 in human early haematopoiesis.,"Sylvie Troncale, Fariza Tahi, David Campard, Jean-Pierre Vannier, and Janine Guespin",2006,10.1142/9789812701626_0039,17094258,"{23993137300: 'Sylvie Troncale', 6602627858: 'Fariza Tahi', 14631575000: 'David Campard', 7005954102: 'Jean Pierre Vannier', 7004155508: 'Jannine F. Guespin-Michel'}"
Modeling and analyzing three-dimensional structures of human disease proteins.,"Yuzhen Ye, Zhanwen Li, and Adam Godzik",2006,10.1142/9789812701626_0040,17094259,"{7401627602: 'Yuzhen Ye', 55759438700: 'Zhanwen Li', 7007144993: 'Adam Godzik'}"
Relaxing haplotype block models for association testing.,"Natalie Castellana, Kedar Dhamdhere, Srinath Sridhar, and Russell Schwartz",2006,10.1142/9789812701626_0042,17094260,"{57272691300: 'Natalie Castellana', 8593470600: 'Kedar Dhamdhere', 16647347200: 'Srinath Sridhar', 16647496700: 'Russell S. Schwartz'}"
"Effect of the peroxisome proliferators-activated receptor (PPAR) gamma 3 gene on BMI in 1,210 school students from Morelos, Mexico.","Lina Chen, H. Eduardo Velasco Mondragon, Eduardo Lazcano-Ponce, Andrew Collins, and Yin Yao Shugart",2006,10.1142/9789812701626_0043,17094261,"{55616084200: 'Una Chen', 55616611500: 'H. Eduardo Velasco-Mondragon', 7005825018: 'Eduardo César Lazcano-Ponce', 56820336900: 'Andrew R. Collins', 7003298956: 'Yinyao Shugart'}"
Transferability of tag SNPs to capture common genetic variation in DNA repair genes across multiple populations.,"Paul I.W. De Bakker, Robert R. Graham, David Altshuler, Brian E. Henderson, and Christopher A. Haiman",2006,10.1142/9789812701626_0044,17094262,"{49762901100: 'Paul I.W. de Barker', 7401483388: 'Robert R. Graham', 7005798316: 'David M. Altshuler', 55659755700: 'Brian E. Henderson', 6701722861: 'Christopher A. Haiman'}"
A tool for selecting SNPs for association studies based on observed linkage disequilibrium patterns.,"Francisco M. De La Vega, Hadar I. Isaac, and Charles R. Scafe",2006,10.1142/9789812701626_0045,17094263,"{6701667422: 'Francisco M. de la Vega', 8933714500: 'Hadar I. Isaac', 6602610807: 'Charles R. Scafe'}"
Data simulation software for whole-genome association and other studies in human genetics.,"Scott M. Dudek, Alison A. Motsinger, Digna R. Velez, Scott M. Williams, and Marylyn D. Ritchie",2006,10.1142/9789812701626_0046,17094264,"{7006790540: 'Scott M. Dudek', 9737954500: 'Alison A. Motsinger-Reif', 14020912600: 'Digna Rosa Velez', 7404835124: 'Scott M. Williams', 7102927061: 'Marylyn D. Ritchie'}"
TagSNP selection based on pairwise LD criteria and power analysis in association studies.,Shyam Gopalakrishnan and Zhaohui S. Qin,2006,10.1142/9789812701626_0047,17094265,"{12239105800: 'Shyam Gopalakrishnan', 7202822915: 'Zhaohui Steve Qin'}"
Efficient two-stage genome-wide association designs based on false positive report probabilities.,Peter Kraft,2006,10.1142/9789812701626_0048,17094266,{55214760000: 'Peter L. Kraft'}
The whole genome tagSNP selection and transferability among HapMap populations.,"Reedik Magi, Lauris Kaplinski, and Maido Remm",2006,10.1142/9789812701626_0049,17094267,"{56813518300: 'Reedik Mägi', 8516126400: 'Lauris Kaplinski', 6603479527: 'Maido Remm'}"
Class prediction from time series gene expression profiles using dynamical systems kernels.,"Karsten M. Borgwardt, S.V.N. Vishwanathan, and Hans-Peter Kriegel",2006,10.1142/9789812701626_0051,17094268,"{10044984100: 'Karsten M. Borgwardt', 6602542951: 'S. V.N. Vishwanathan', 7005718994: 'Hans Peter Kriegel'}"
Computational strategy for discovering druggable gene networks from genome-wide RNA expression profiles.,"Seiya Imoto, Yoshinori Tamada, Hiromitsu Araki, Kaori Yasuda, Cristin G. Print, Stephen D. Charnock-Jones, Deborah Sanders, Christopher J. Savoie, Kousuke Tashiro, Satoru Kuhara, and Satoru Miyano",2006,10.1142/9789812701626_0052,17094269,"{7102856656: 'Seiya Imoto', 7005752498: 'Yoshinori Tamada', 36869672200: 'Hiromitsu Araki', 36060637400: 'Kaori Yasuda', 6603682808: 'Cristin Gregor Print', 57215575828: 'D. Stephen Charnock-Jones', 7401700397: 'Deborah A. Sanders', 35478697700: 'Christopher J. Savoie', 35475366200: 'Kosuke Tashiro', 7004997564: 'Satoru Kuhara', 7102554029: 'Satoru Miyano'}"
A bivariate functional mapping model for identifying haplotypes that control drug response for systolic and diastolic blood pressures.,"Min Lin, Rongling Wu, and Julie Johnson",2006,10.1142/9789812701626_0053,17094270,"{57218971998: 'Min Lin', 7402944700: 'Rongling Wu', 55439192600: 'Julie A. Johnson'}"
